order_id	pickup_city	delivery_city	zone	order_time	package_weight_kg	vehicle_type	vehicle_capacity_kg	traffic_level	weather_condition	delivery_priority	distance_km	fuel_cost_estimate	driver_cost_estimate	delivery_cost	delivery_revenue	profit_per_delivery
2000	Gurgaon	Ludhiana	east	02-03-2026 20:20	4.64	van	500	medium	fog	medium	720.74	2380.99	1214.76	3595.75	7391.28	3795.54
2001	Mumbai	Delhi	east	05-03-2026 01:06	19.68	van	1000	high	fog	medium	1194.09	4576.55	2201.48	6778.04	12307.98	5529.94
2002	Indore	Nagpur	south	06-03-2026 14:44	33.26	truck	100	high	clear	high	1480.69	3433.34	2895.24	6328.58	10694.32	4365.74
2003	Visakhapatnam	Ahmedabad	south	05-03-2026 23:03	22.27	van	50	high	clear	high	438.8	879.17	762.5	1641.67	3218.16	1576.49
2004	Surat	Gurgaon	west	06-03-2026 07:03	24.01	van	500	high	rain	medium	5.44	17.66	7.87	25.53	50.62	25.09
2005	Kochi	Mumbai	east	03-03-2026 00:34	46.5	truck	1000	medium	fog	low	1308.69	3429.8	1570.44	5000.24	8085.33	3085.1
2006	Raipur	Ludhiana	north	06-03-2026 09:03	44.99	bike	100	low	clear	high	683.32	2692.74	1206.7	3899.44	5755.95	1856.51
2007	Kanpur	Ranchi	north	02-03-2026 13:55	6.42	bike	50	high	rain	high	831.94	2911.54	1302.9	4214.44	9797.17	5582.73
2008	Noida	Indore	east	06-03-2026 03:29	9.01	truck	500	low	rain	low	465.6	1136.74	884.55	2021.29	4501.39	2480.1
2009	Hyderabad	Amritsar	central	06-03-2026 10:44	21.19	truck	500	high	cloudy	medium	923.47	2143.1	1487.26	3630.36	7270.9	3640.54
2010	Chandigarh	Raipur	north	01-03-2026 23:35	16.46	bike	100	low	clear	medium	497.56	1957.86	777.23	2735.1	3782.41	1047.31
2011	Bhopal	Agra	east	02-03-2026 23:41	42.25	van	1000	low	cloudy	high	34.47	115.1	66.68	181.79	260.38	78.59
2012	Kanpur	Delhi	west	06-03-2026 10:59	0.9	truck	100	medium	fog	high	364.42	1289.56	728.75	2018.31	3670.46	1652.15
